"strategy","R50","R20","R80","AUC"
"betweenness",0.0114285714285714,0.36,0.00571428571428571,0.131804081632653
"closeness",0.0685714285714286,0.422857142857143,0.0228571428571429,0.172408163265306
"degree",0.0228571428571429,0.337142857142857,0.00571428571428571,0.135967346938776
"eigenvector",0.0742857142857143,0.48,0.0114285714285714,0.186661224489796
"random",0.36,0.76,0.08,0.399314285714286
