"国家","出度","入度","加权出度","加权入度","介数中心性","接近中心性","特征向量中心性"
"114",41,41,1257998373.947,1257998373.947,0.0671051757358315,0.99524979946427,0.0182286623964045
"77",2,2,500994.934,500994.934,0,0.781572799051076,3.20305444385726e-06
"83",15,15,1636828903.265,1636828903.265,0.0630522888844595,0.998634630083267,0.0205632940733585
"122",5,5,3188131.829,3188131.829,0,0.993018435545648,1.50364233624541e-05
"91",6,6,15826339.06,15826339.06,0.0342169955484685,0.986888699381063,5.17728612853757e-08
"69",5,5,4692819.142,4692819.142,0.0114942528735632,0.968702458904297,8.77905980018505e-10
"99",4,4,123731.036,123731.036,0,0.97663903273296,4.8053261876167e-07
"134",2,2,586928.08,586928.08,0,0.937879367100157,6.02507108493264e-06
"158",6,6,569290.907,569290.907,0,0.99217017139787,7.65783072734837e-08
"74",3,3,85938049.94,85938049.94,0,0.0473305348877289,0.000953194038398101
"172",1,1,28670.887,28670.887,0,0.964239902708084,4.15413723935835e-10
"129",2,2,3012.447,3012.447,0.034084114012358,0.99739288962004,1.48171819891439e-09
"13",15,15,2521197.349,2521197.349,0.0120922197860607,0.982307925623721,1.60640378382221e-07
"3",6,6,215001.534,215001.534,0.0116935751777291,0.982824012661995,7.71468436648269e-08
"75",1,1,67071.868,67071.868,0,0.922334340504798,9.71807201403116e-10
"33",7,7,8350156.938,8350156.938,0,0.968890720577779,3.75937032699568e-06
"159",17,17,360294332.808,360294332.808,0,0.997560753097582,0.00394314252206007
"123",3,3,26685.971,26685.971,0.00830509600690984,0.998638669684101,2.91919832539071e-08
"36",2,2,9566.711,9566.711,0.0114942528735632,0.956093219301977,4.2370165007051e-16
"87",4,4,13246990.598,13246990.598,0,0.994288124569879,4.27678798019347e-07
"107",1,1,1234,1234,0,0.994301640118044,3.34851047585942e-08
"171",6,6,252709.587,252709.587,0,0.997621935440141,9.81220157662493e-08
