"node","degree","betweenness","closeness","eigenvector","combined_score"
"141",1,1,1,0.980077975202189,0.996015595040438
"78",0.7875,0.417372356082408,0.942953020134228,1,0.750052310851568
"160",0.7125,0.411507127509434,0.927392739273927,0.979040217139681,0.718488729535552
"50",0.5875,0.205608008251926,0.878125,0.959404628876841,0.605438328250946
"154",0.6,0.168879764198455,0.880877742946709,0.969724065681058,0.60078429098509
"42",0.5875,0.34307953214913,0.889240506329114,0.66708041813222,0.590438044537006
"118",0.5875,0.148741912884788,0.872670807453416,0.970632515654287,0.589533238486977
"125",0.5625,0.256242566941845,0.889240506329114,0.826642748072567,0.58879942096289
"64",0.525,0.204516426349173,0.867283950617284,0.814309436135827,0.555173605255374
"114",0.5125,0.139675100868551,0.859327217125382,0.859619046148086,0.539441782915259
